127.0.0.1, 2016-03-24 20:32:53, GET, /Cooking_Recipes/appadmin/hooks, HTTP/1.1, 200, 0.468870
127.0.0.1, 2016-03-24 20:33:21, POST, /admin/default/edit/Cooking_Recipes/views/default/index.html, HTTP/1.1, 200, 0.041707
127.0.0.1, 2016-03-24 20:33:27, GET, /Cooking_Recipes/default/index, HTTP/1.1, 200, 0.133351
127.0.0.1, 2016-03-24 20:33:27, GET, /Cooking_Recipes/default/index.css, HTTP/1.1, 200, 0.039855
127.0.0.1, 2016-03-24 20:33:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000824
127.0.0.1, 2016-03-24 20:33:29, GET, /Cooking_Recipes/log-in.html, HTTP/1.1, 400, 0.000859
127.0.0.1, 2016-03-24 20:33:29, GET, /favicon.ico, HTTP/1.1, 400, 0.003285
127.0.0.1, 2016-03-24 20:33:54, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.098983
127.0.0.1, 2016-03-24 20:33:55, GET, /Cooking_Recipes/appadmin/hooks, HTTP/1.1, 200, 1.389982
127.0.0.1, 2016-03-24 20:34:31, GET, /admin/default/design/Cooking_Recipes, HTTP/1.1, 200, 0.256281
127.0.0.1, 2016-03-24 20:34:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000826
127.0.0.1, 2016-03-24 20:35:13, GET, /admin/default/design/Cooking_Recipes, HTTP/1.1, 200, 0.332050
127.0.0.1, 2016-03-24 20:35:13, GET, /admin/static/_2.13.4/js/calendar.js, HTTP/1.1, 304, 0.000765
127.0.0.1, 2016-03-24 20:35:13, GET, /admin/static/_2.13.4/js/web2py.js, HTTP/1.1, 304, 0.002260
127.0.0.1, 2016-03-24 20:35:13, GET, /admin/static/_2.13.4/js/jquery.js, HTTP/1.1, 304, 0.003587
127.0.0.1, 2016-03-24 20:35:13, GET, /admin/static/_2.13.4/plugin_multiselect/multi-select.css, HTTP/1.1, 304, 0.001736
127.0.0.1, 2016-03-24 20:35:13, GET, /admin/static/_2.13.4/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 304, 0.001400
127.0.0.1, 2016-03-24 20:35:13, GET, /admin/static/_2.13.4/css/calendar.css, HTTP/1.1, 304, 0.002758
127.0.0.1, 2016-03-24 20:35:13, GET, /admin/static/_2.13.4/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 304, 0.000402
127.0.0.1, 2016-03-24 20:35:13, GET, /admin/static/_2.13.4/css/bootstrap_essentials.css, HTTP/1.1, 304, 0.003260
127.0.0.1, 2016-03-24 20:35:13, GET, /admin/static/_2.13.4/js/bootstrap.min.js, HTTP/1.1, 304, 0.000775
127.0.0.1, 2016-03-24 20:35:13, GET, /admin/static/_2.13.4/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 304, 0.002191
127.0.0.1, 2016-03-24 20:35:13, GET, /admin/static/_2.13.4/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.002700
127.0.0.1, 2016-03-24 20:35:13, GET, /admin/static/_2.13.4/css/bootstrap.min.css, HTTP/1.1, 304, 0.005265
127.0.0.1, 2016-03-24 20:35:13, GET, /admin/static/_2.13.4/plugin_multiselect/start.js, HTTP/1.1, 304, 0.003409
127.0.0.1, 2016-03-24 20:35:13, GET, /admin/static/_2.13.4/images/search.png, HTTP/1.1, 304, 0.000680
127.0.0.1, 2016-03-24 20:35:13, GET, /admin/static/_2.13.4/images/test_icon.png, HTTP/1.1, 304, 0.001754
127.0.0.1, 2016-03-24 20:35:13, GET, /admin/static/_2.13.4/images/help.png, HTTP/1.1, 304, 0.003108
